survivor 14.296 43.504 2.028
vent -10.437 52.977 2.851
backpack -1.499 50.578 4.832
backpack -13.905 82.807 0.356
phone 9.134 70.894 1.08
survivor 39.601 65.756 0.617
backpack 64.483 53.36 0.666
vent 64.223 26.497 5.282
phone 55.618 35.501 0.051
vent 62.676 13.633 1.412
backpack 51.497 11.214 3.234
gas 30.7 9.514 0.013
backpack 21.22 18.659 0.572
gas -0.183 18.305 -0.04
phone -8.611 31 2.176
vent 15.045 2.048 -6.212
survivor -14.682 0.715 -7.829
gas -10.42 28.816 -8.325
phone -8.957 73.914 -6.419
backpack -0.724 -4.4 -5.507
