backpack -10.663 54.982 5.471
backpack 10.108 55.464 1.835
phone 1.308 83.588 1.379
vent 62.707 67.538 5.322
survivor 64.519 53.409 0.629
backpack 76.174 41.362 1.762
phone 68.851 24.828 0.052
gas 61.633 18.297 0.03
vent 47.564 12.435 2.693
survivor 43.586 1.082 0.541
vent 15.817 13.571 2.14
backpack 11.706 9.368 3.978
phone -15.002 23.464 0.668
gas -10.818 32.993 0.019
survivor 31.911 -4.39 -7.827
vent 15.045 2.048 -6.212
backpack 4.531 -3.908 -7.689
phone -7.988 7.177 -4.003
gas -10.398 11.005 -8.177
backpack -8.898 73.555 -6.749
